融资租赁、融资担保公司,区金融业发展办公室,xls.txt.csv.xml.json,135次,融资租赁、融资担保公司,企业服务>金融机构,2014-07-25,2017-04-14
小贷公司,区金融业发展办公室,xls.txt.csv.xml.json,102次,小贷公司,企业服务>金融机构,2014-07-25,2017-04-14
南海区上市企业信息,区金融业发展办公室,xls.txt.csv.xml.json,159次,南海区上市企业信息,企业服务>上市企业,2014-07-25,2017-04-14
保险、证券公司,区金融业发展办公室,xls.txt.csv.xml.json,179次,保险、证券公司,企业服务>金融机构,2014-07-25,2017-04-14
银行ATM信息,区金融业发展办公室,xls.txt.csv.xml.json,19次,银行ATM信息,企业服务>金融机构,2017-04-14,2017-04-14
银行机构网点,区金融业发展办公室,xls.txt.csv.xml.json,161次,银行机构网点,企业服务>金融机构,2014-07-25,2017-04-14
私募创投机构,区金融业发展办公室,xls.txt.csv.xml.json,152次,私募创投机构,企业服务>金融机构,2014-07-25,2017-04-14
高校,区教育局,xls.txt.csv.xml.json,138次,高校,教育科研>教育机构,2014-07-01,2017-04-14
南海区中职教育机构信息,区教育局,xls.txt.csv.xml.json,49次,南海区中职教育机构信息,教育科研>教育机构,2017-04-14,2017-04-14
幼儿园,区教育局,xls.txt.csv.xml.json,205次,幼儿园,教育科研>教育机构,2014-07-01,2017-04-14
培训机构,区教育局,xls.txt.csv.xml.json,145次,培训机构,教育科研>培训机构,2014-07-02,2017-04-14
小学,区教育局,xls.txt.csv.xml.json,332次,小学,教育科研>教育机构,2014-07-02,2017-04-14
特殊教育,区教育局,xls.txt.csv.xml.json,214次,特殊教育,教育科研>教育机构,2014-07-29,2017-04-14
中学,区教育局,xls.txt.csv.xml.json,246次,中学,教育科研>教育机构,2014-07-01,2017-04-14
城巴线路,区交通运输局（公路）,xls.txt.csv.xml.json,222次,城巴线路,交通服务>公共交通,2014-08-08,2017-04-14
国内航运企业名录,区交通运输局（公路）,xls.txt.csv.xml.json,177次,国内航运企业名录,交通服务>航运企业,2014-08-06,2017-04-14
道路危险货物运输企业,区交通运输局（公路）,xls.txt.csv.xml.json,140次,道路危险货物运输企业,交通服务>客货运企业,2014-08-06,2017-04-14
水路运输经营信息采集表,区交通运输局（公路）,xls.txt.csv.xml.json,43次,水路运输经营信息采集表,交通服务>统计信息,2017-04-14,2017-04-14
机动车综合性能检测站,区交通运输局（公路）,xls.txt.csv.xml.json,176次,机动车综合性能检测站,生活服务>车辆保养,2014-07-08,2017-04-14
城巴站点,区交通运输局（公路）,xls.txt.csv.xml.json,92次,城巴站点,交通服务>公共交通,2014-08-08,2017-04-14
省际客运站信息,区交通运输局（公路）,xls.txt.csv.xml.json,121次,省际客运站信息,交通服务>公共交通,2014-08-06,2017-04-14
班车线路,区交通运输局（公路）,xls.txt.csv.xml.json,52次,班车线路,交通服务>公共交通,2017-04-14,2017-04-14
村道,区交通运输局（公路）,xls.txt.csv.xml.json,129次,村道,交通服务>道路,2014-08-06,2017-04-14
公路水运工程施工企业信用评价结果,区交通运输局（公路）,xls.txt.csv.xml.json,33次,公路水运工程施工企业信用评价结果,交通服务>执法监管,2017-04-14,2017-04-14
